text,label
"Offerta imperdibile! Approfitta ora di questa incredibile opportunità. MIGLIORE PREMIO OFFERTA CLICCA QUI INVESTIMENTO URGENTE ESCLUSIVO. Clicca qui per saperne di più.",1
"Buongiorno, In merito al progetto di marketing, Come stai? Buon lavoro Informazioni File Aggiornamento. Cordiali saluti.",0
"Offerta speciale per te! Migliaia di clienti soddisfatti. NON PERDERE OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO. Visita il nostro sito web.",1
"Ciao, Volevo chiederti un feedback sul documento, Tutto bene? Documento File Aggiornamento Buon lavoro. A presto!",0
"Congratulazioni, hai vinto! Offerta valida fino ad esaurimento scorte. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
"Ciao, Per quanto riguarda la riunione di domani, Novità? Appuntamento File Riunione Informazioni. Fammi sapere cosa ne pensi.",0
"Attenzione! Non lasciarti sfuggire questa occasione unica. LAVORA DA CASA GUARDA ORA OFFERTA SCONTO CLICCA QUI ESCLUSIVO SEGRETO. Non aspettare, l'offerta scade oggi!",1
"Buongiorno, Volevo ricordarti che... Ciao, Buon lavoro Prego Documento. Buona giornata.",0
"Offerta speciale per te! Affrettati, i posti sono limitati. OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO OPPORTUNITÀ. Ordina ora e ricevi uno sconto!",1
"Ciao, In merito al progetto di marketing, Come stai? Buon lavoro Documento File Aggiornamento. Cordiali saluti.",0
"Congratulazioni, hai vinto! Garanzia soddisfatti o rimborsati. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
"Ciao, Per quanto riguarda la riunione di domani, Novità? Appuntamento Riunione Informazioni. Fammi sapere cosa ne pensi.",0
"Attenzione! Non perdere questa occasione! GUARDA ORA OFFERTA SCONTO CLICCA QUI ESCLUSIVO SEGRETO. Non aspettare, l'offerta scade oggi!",1
"Buongiorno, Volevo ricordarti che... Ciao, Buon lavoro Prego Documento. Buona giornata.",0
"Offerta imperdibile! Approfitta ora di questa incredibile opportunità. MIGLIORE PREMIO OFFERTA CLICCA QUI INVESTIMENTO URGENTE ESCLUSIVO. Clicca qui per saperne di più.",1
"Ciao, In merito al progetto di marketing, Tutto bene? Buon lavoro Informazioni File Aggiornamento. Cordiali saluti.",0
"Offerta speciale per te! Migliaia di clienti soddisfatti. NON PERDERE OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO. Visita il nostro sito web.",1
"Ciao, Volevo chiederti un feedback sul documento, Tutto bene? Documento File Aggiornamento Buon lavoro. A presto!",0
"Congratulazioni, hai vinto! Offerta valida fino ad esaurimento scorte. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
"Ciao, Per quanto riguarda la riunione di domani, Novità? Appuntamento Riunione Informazioni. Fammi sapere cosa ne pensi.",0
"Attenzione! Non lasciarti sfuggire questa occasione unica. LAVORA DA CASA GUARDA ORA OFFERTA SCONTO CLICCA QUI ESCLUSIVO SEGRETO. Non aspettare, l'offerta scade oggi!",1
"Buongiorno, Volevo ricordarti che... Ciao, Buon lavoro Prego Documento. Buona giornata.",0
"Offerta speciale per te! Affrettati, i posti sono limitati. OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO OPPORTUNITÀ. Ordina ora e ricevi uno sconto!",1
"Ciao, In merito al progetto di marketing, Come stai? Buon lavoro Documento File Aggiornamento. Cordiali saluti.",0
"Congratulazioni, hai vinto! Garanzia soddisfatti o rimborsati. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
"Ciao, Per quanto riguarda la riunione di domani, Novità? Appuntamento Riunione Informazioni. Fammi sapere cosa ne pensi.",0
"Attenzione! Non perdere questa occasione! GUARDA ORA OFFERTA SCONTO CLICCA QUI ESCLUSIVO SEGRETO. Non aspettare, l'offerta scade oggi!",1
"Buongiorno, Volevo ricordarti che... Ciao, Buon lavoro Prego Documento. Buona giornata.",0
"Offerta imperdibile! Approfitta ora di questa incredibile opportunità. MIGLIORE PREMIO OFFERTA CLICCA QUI INVESTIMENTO URGENTE ESCLUSIVO. Clicca qui per saperne di più.",1
"Ciao, In merito al progetto di marketing, Tutto bene? Buon lavoro Informazioni File Aggiornamento. Cordiali saluti.",0
"Offerta speciale per te! Migliaia di clienti soddisfatti. NON PERDERE OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO. Visita il nostro sito web.",1
"Ciao, Volevo chiederti un feedback sul documento, Tutto bene? Documento File Aggiornamento Buon lavoro. A presto!",0
"Congratulazioni, hai vinto! Offerta valida fino ad esaurimento scorte. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
"Ciao, Per quanto riguarda la riunione di domani, Novità? Appuntamento Riunione Informazioni. Fammi sapere cosa ne pensi.",0
"Attenzione! Non lasciarti sfuggire questa occasione unica. LAVORA DA CASA GUARDA ORA OFFERTA SCONTO CLICCA QUI ESCLUSIVO SEGRETO. Non aspettare, l'offerta scade oggi!",1
"Buongiorno, Volevo ricordarti che... Ciao, Buon lavoro Prego Documento. Buona giornata.",0
"Offerta speciale per te! Affrettati, i posti sono limitati. OFFERTA SCONTO CLICCA QUI URGENTE ESCLUSIVO RICCO OPPORTUNITÀ. Ordina ora e ricevi uno sconto!",1
"Ciao, In merito al progetto di marketing, Come stai? Buon lavoro Documento File Aggiornamento. Cordiali saluti.",0
"Congratulazioni, hai vinto! Garanzia soddisfatti o rimborsati. VINCI PREMIO OFFERTA URGENTE CLICCA QUI ESCLUSIVO SOLO OGGI OPPORTUNITÀ. Inizia a guadagnare oggi stesso!",1
